procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0 460176 137968  15884 288032  579  808  1652  4673 11320 16030  2  3 94  0  0
 3  0 460176 137960  15892 288028    0    0     0    40 12005 35593  0  4 96  0  0
 2  0 460176 137960  15892 288036    0    0     0   140 12124 35725  1  2 95  1  0
 1  0 460176 137960  15892 288036    0    0     0     0 11801 34876  0  6 94  0  0
 1  0 460176 137960  15892 288036    0    0     0     0 12179 36217  0  2 98  0  0
 1  0 460176 137960  15892 288036    0    0     0     0 12374 36789  0  0 100  0  0
 1  0 460176 137960  15892 288036    0    0     0     0 12366 36878  0  0 100  0  0
 1  0 460176 137960  15900 288036    0    0     0    32 12351 36754  0  0 100  0  0
 1  0 460176 137960  15900 288036    0    0     0   104 12359 36769  0  1 99  0  0
 1  0 460176 137684  15908 288028    0    0     0    52 12229 36379  0  0 100  0  0
 1  0 460176 137684  15908 288088    0    0     0     0 12309 36771  0  0 100  0  0
 1  0 460176 137684  15916 288080    0    0     0    40 12253 36547  0  1 98  1  0
 1  0 460176 137684  15916 288092    0    0     0     0 12395 36950  0  0 100  0  0
 1  0 460176 137684  15916 288092    0    0     0     0 12391 36908  0  0 100  0  0
 1  0 460176 137684  15916 288092    0    0     0     0 12401 36897  0  0 100  0  0
 1  0 460176 137684  15916 288092    0    0     0     0 12404 36915  0  0 100  0  0
 1  0 460176 137684  15916 288092    0    0     0     0 12394 36948  0  0 100  0  0
 1  0 460176 137684  15924 288092    0    0     0    28 12405 36911  0  0 100  0  0
 1  0 460176 137684  15924 288092    0    0     0     0 11244 33004  4  6 90  0  0
 6  1 460176  65804  15380 356608   84    0   240 222352 8900 25655  4 30 65  1  0
 6  0 460176  72524  15440 346400 1420    0  2764 1073336 3251 6938  6 94  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 455312  74360   6940 365360  716  304 21740 989628 3691 7762  5 95  0  0  0
 5  2 455056  73196   4340 369408   20    0   568 1041760 3117 6777  4 96  0  0  0
