procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 513976 475268   3512 124756 2042 3184  6017 19015 1689 3467  5  6 88  1  0
 1  0 511672 471488   3512 125840 2684    0  3780     0 11274 33104  2 10 84  4  0
 1  0 511160 470480   3788 126108  472    0   992    36 12150 35753  0  6 93  1  0
 1  0 510136 454604   4316 138372 2636    0 14844     0 11760 34165  2  9 80  8  0
 1  0 510136 454604   4316 138372    0    0     0     0 12104 35649  1  3 95  0  0
 1  0 510136 454604   4316 138372    0    0     0     0 12317 36785  0  0 100  0  0
 1  0 510136 454476   4316 138372   40    0    40     0 12336 36721  0  0 100  0  0
 1  0 509880 454476   4316 138364  100    0   100     0 11836 35250  1  7 91  1  0
 1  0 509880 454476   4324 138848   88    0   564    32 11347 33744  0 11 89  0  0
 2  0 509880 454476   4324 138856   12    0    12    60 11500 33903  4  6 89  1  0
 2  0 507064 451160   4332 139528 2900    0  3512    52 10872 31237  2 13 81  4  0
 1  0 507064 450908   4608 139544    0    0   316     8 11879 35038  0  7 92  1  0
 1  0 498872 430496   4616 148592 10792    0 19820    44 13109 37757  0  4 81 15  0
 1  0 498872 430496   4620 148580   24    0    28   124 12089 35424  0  5 95  0  0
 2  0 517412 160264   4280 103368  160 19228   832 19228 6806 18428  5 33 61  2  0
 2  0 535304 513036    880  55512   72 18192  3880 18228 2379 4642 13 87  0  0  0
 4  0 540656 394760    748  55036   16 5524   360  5524  678  748  7 93  0  0  0
 2  0 540656 121948   1688  55996   12    0  1956     0  541  733 13 88  0  0  0
 2  0 546180 410544   1460  53864    0 5580    12  5628  635  634  6 94  0  0  0
 3  0 548052 155420   1364  52256    0 2040     0  2040  373  418  7 93  0  0  0
 4  0 533564 107256   1492  80448 7880 1160 33712  1216 4794 7070 17 83  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0 537928 516400   1456  77688 1328 5728  4136  5728 1494 2506  9 91  0  0  0
 3  0 554940 150512   1152  72536  760 17520 13052 17700 2521 3248 10 90  0  0  0
 4  0 554684 438620   1152  73244  252    0   944     0  590  861  6 94  0  0  0
 4  0 554172 383828   1152  75108  344    0  2224     0  897 1433  8 92  0  0  0
 2  0 557076 218064   1048  69336    0 2916    72  2916  569  639 13 88  0  0  0
 4  0 557076 349948   1048  69300   76    0    76     0  724 1385 14 86  0  0  0
 2  0 558656 380588   1452  67860   20 1584   544  1584  567  957 13 87  0  0  0
 3  0 558656 394924   1460  67860   16    0    16    32  368  629  7 93  0  0  0
 3  0 558656 561064   1460  67864   20    0    20     0  411  851  7 93  0  0  0
 2  0 558432 392564   1456  77484 3580 2668 15084  2720 1842 2014 10 90  0  0  0
 3  0 558432 230052   1456  78060   24    0   608     0  325  438 11 89  0  0  0
 4  0 556640  66792   1732  89724 2092    0 14000    52 1796 2788 16 84  0  0  0
 2  0 562832 305836   1632  85828  240 6312  1456  6312 1132 1459 13 87  0  0  0
 1  0 560528 559236   1636  94668 2724    0 11540     0 17726 35420  3  8 84  5  0
