procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0 464784 147192  13808 284756  754 1054  2153  6088 10363 8099  2  3 94  1  0
 1  0 464784 146940  13816 284740    0    0     0    52 11071 32532  1 13 86  0  0
 2  0 464784 146940  13816 284760    8    0     8    16 11923 35369  1  2 95  1  0
 1  0 464784 145672  13816 284760    0    0     0     0 11403 33624  0 10 90  0  0
 1  0 464784 145680  13816 284756    4    0     4     0 12326 36664  0  0 100  0  0
 1  0 464784 145680  13816 284760    0    0     0     0 12363 36817  0  0 100  0  0
 1  0 464784 145680  13816 284760    0    0     0     0 12337 36750  0  0 100  0  0
 1  0 464784 145680  13824 284760    0    0     0    48 12315 36652  0  1 99  0  0
 1  0 464784 145680  13824 284760    0    0     0     0 12361 36803  0  0 100  0  0
 1  0 464784 145680  13832 284752    0    0     0    48 12223 36332  0  1 98  1  0
 1  0 464784 145680  13832 284780    0    0     0     0 12354 36714  0  0 100  0  0
 1  0 464784 145680  13840 284772    0    0     0    24 12254 36473  0  0 100  0  0
 1  0 464784 145680  13840 284780    0    0     0   140 12377 36798  0  0 100  0  0
 1  0 464784 145680  13840 284780    0    0     0     0 12367 36781  0  0 100  0  0
 1  0 464784 145680  13840 284780    0    0     0     0 12394 36893  0  0 100  0  0
 1  0 464784 145680  13840 284780    0    0     0     0 12373 36843  0  0 100  0  0
 1  0 464784 145680  13840 284780    0    0     0     0 12330 36733  0  0 100  0  0
 1  0 464784 145680  13848 284780    0    0     0    44 12343 36710  0  0 99  1  0
 2  0 464784 145680  13848 284780    0    0     0     0 12373 36776  0  0 100  0  0
 1  0 464784 145680  13856 284772    0    0     0    52 12263 36472  0  1 99  0  0
 2  0 464784 145680  13856 284800    0    0     0     0 12370 36836  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 464784 145680  13864 284792    0    0     0    40 12346 36780  0  0 99  1  0
 6  0 464784 145120  13864 284804    0    0     0     0 2067 5853 64  3 33  0  0
 7  0 464784 145120  13864 284804    0    0     0     0  366  617 97  3  0  0  0
 6  0 464784 145120  13864 284932    0    0   128     4  636 1162 72 28  0  0  0
 7  0 464784 145120  13864 284932    0    0     0    52  338  552 97  3  0  0  0
 7  0 464784 145120  13864 284932    0    0     0     0  408  767 65 35  0  0  0
 6  0 464784 145120  13872 284932    0    0     0    36 1379 1926 80 20  0  0  0
 6  0 464784 145120  13872 284932    0    0     0     0 4958 8428 94  6  0  0  0
 8  0 464784 144620  13880 285240    0    0     0    48 1463 3922 83 17  0  0  0
 6  0 464784 144620  13880 285272    0    0     0     0 1346 2025 91  9  0  0  0
 7  0 464784 144620  13888 285280  224    0   224    52  362  565 100  0  0  0  0
 7  0 464784 144620  13888 285272   40    0    40     0  293  330 100  0  0  0  0
 6  0 464784 144620  13888 285280    0    0     0     0  291  439 100  0  0  0  0
 7  0 464784 144620  13888 285280    0    0     0     0  352  410 96  4  0  0  0
 6  0 464784 144620  13888 285280    0    0     0     0  242  373 100  0  0  0  0
 7  0 464784 144620  13888 285280    0    0     0     0  269  401 100  0  0  0  0
 6  0 464784 144620  13896 285280    0    0     0    32  272  407 100  0  0  0  0
 7  0 464784 144620  13896 285280    0    0     0     0  261  390 100  0  0  0  0
 6  0 464784 144620  13904 285288   36    0    36    48  343  428 100  0  0  0  0
 7  0 464784 144620  13904 285300    0    0     0     0  185  419 100  0  0  0  0
 6  0 464784 144620  13912 285292    0    0     0    24   84  403 100  0  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
